Year,Indicator_Name,Value
1973,"School enrollment, primary (gross), gender parity index (GPI)",0.653339982
1972,"School enrollment, primary (gross), gender parity index (GPI)",0.644959986
1971,"School enrollment, primary (gross), gender parity index (GPI)",0.642530024
2017,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.08402
2016,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.09519
2015,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.07018
2014,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.06962
2013,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.0725
2012,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.0034
2011,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.99853
2010,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.98905
2009,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.98997
2008,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.96705
2007,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.94256
2003,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.9157
2002,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.83037
2001,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.80988
2000,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.80224
1999,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.79697001
1997,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.775860012
1996,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.762629986
1995,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.754369974
1994,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.753220022
1993,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.740249991
1989,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.67543
1988,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.677860022
1987,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.668169975
1986,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.657949984
1984,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.627759993
1983,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.640160024
1982,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.61589998
1981,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.618969977
1980,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.610979974
1978,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.600009978
1977,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.607659996
1976,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.603519976
1975,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.599870026
1973,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.592090011
1972,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.582499981
1971,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.578909993
2017,"School enrollment, secondary (gross), gender parity index (GPI)",1.01507
2016,"School enrollment, secondary (gross), gender parity index (GPI)",1.02411
2015,"School enrollment, secondary (gross), gender parity index (GPI)",1.02118
2014,"School enrollment, secondary (gross), gender parity index (GPI)",1.02313
2013,"School enrollment, secondary (gross), gender parity index (GPI)",1.02005
2012,"School enrollment, secondary (gross), gender parity index (GPI)",0.96298
2011,"School enrollment, secondary (gross), gender parity index (GPI)",0.95581
2010,"School enrollment, secondary (gross), gender parity index (GPI)",0.9414
2009,"School enrollment, secondary (gross), gender parity index (GPI)",0.93552
2008,"School enrollment, secondary (gross), gender parity index (GPI)",0.90001
2007,"School enrollment, secondary (gross), gender parity index (GPI)",0.87629
2006,"School enrollment, secondary (gross), gender parity index (GPI)",0.85073
2005,"School enrollment, secondary (gross), gender parity index (GPI)",0.83893
2004,"School enrollment, secondary (gross), gender parity index (GPI)",0.82241
2003,"School enrollment, secondary (gross), gender parity index (GPI)",0.82004
2002,"School enrollment, secondary (gross), gender parity index (GPI)",0.75681
2001,"School enrollment, secondary (gross), gender parity index (GPI)",0.72872
2000,"School enrollment, secondary (gross), gender parity index (GPI)",0.7216
1999,"School enrollment, secondary (gross), gender parity index (GPI)",0.713209987
1997,"School enrollment, secondary (gross), gender parity index (GPI)",0.675779998
1996,"School enrollment, secondary (gross), gender parity index (GPI)",0.653819978
1995,"School enrollment, secondary (gross), gender parity index (GPI)",0.646920025
1994,"School enrollment, secondary (gross), gender parity index (GPI)",0.646130025
1993,"School enrollment, secondary (gross), gender parity index (GPI)",0.628440022
1989,"School enrollment, secondary (gross), gender parity index (GPI)",0.570309997
1988,"School enrollment, secondary (gross), gender parity index (GPI)",0.555850029
1987,"School enrollment, secondary (gross), gender parity index (GPI)",0.542850018
1986,"School enrollment, secondary (gross), gender parity index (GPI)",0.537519991
1984,"School enrollment, secondary (gross), gender parity index (GPI)",0.515209973
1983,"School enrollment, secondary (gross), gender parity index (GPI)",0.55321002
1982,"School enrollment, secondary (gross), gender parity index (GPI)",0.497200012
1981,"School enrollment, secondary (gross), gender parity index (GPI)",0.501399994
1980,"School enrollment, secondary (gross), gender parity index (GPI)",0.487360001
1978,"School enrollment, secondary (gross), gender parity index (GPI)",0.479009986
1977,"School enrollment, secondary (gross), gender parity index (GPI)",0.472090006
1976,"School enrollment, secondary (gross), gender parity index (GPI)",0.465389997
1975,"School enrollment, secondary (gross), gender parity index (GPI)",0.461979985
1973,"School enrollment, secondary (gross), gender parity index (GPI)",0.438580006
1972,"School enrollment, secondary (gross), gender parity index (GPI)",0.429349989
1971,"School enrollment, secondary (gross), gender parity index (GPI)",0.422399998
2018,"School enrollment, tertiary (gross), gender parity index (GPI)",1.06961
2017,"School enrollment, tertiary (gross), gender parity index (GPI)",1.04189
2016,"School enrollment, tertiary (gross), gender parity index (GPI)",1.0152
2015,"School enrollment, tertiary (gross), gender parity index (GPI)",1.00352
2014,"School enrollment, tertiary (gross), gender parity index (GPI)",0.99749
2013,"School enrollment, tertiary (gross), gender parity index (GPI)",0.95096
2011,"School enrollment, tertiary (gross), gender parity index (GPI)",0.79858
2010,"School enrollment, tertiary (gross), gender parity index (GPI)",0.74056
2009,"School enrollment, tertiary (gross), gender parity index (GPI)",0.71792
2007,"School enrollment, tertiary (gross), gender parity index (GPI)",0.71028
2006,"School enrollment, tertiary (gross), gender parity index (GPI)",0.7334
2005,"School enrollment, tertiary (gross), gender parity index (GPI)",0.71758
2004,"School enrollment, tertiary (gross), gender parity index (GPI)",0.68078
2003,"School enrollment, tertiary (gross), gender parity index (GPI)",0.68655
2002,"School enrollment, tertiary (gross), gender parity index (GPI)",0.70396
2001,"School enrollment, tertiary (gross), gender parity index (GPI)",0.68906
2000,"School enrollment, tertiary (gross), gender parity index (GPI)",0.66198
1997,"School enrollment, tertiary (gross), gender parity index (GPI)",0.617299974
1996,"School enrollment, tertiary (gross), gender parity index (GPI)",0.610570014
1995,"School enrollment, tertiary (gross), gender parity index (GPI)",0.56862998
1991,"School enrollment, tertiary (gross), gender parity index (GPI)",0.534720004
1990,"School enrollment, tertiary (gross), gender parity index (GPI)",0.520219982
1989,"School enrollment, tertiary (gross), gender parity index (GPI)",0.503880024
1988,"School enrollment, tertiary (gross), gender parity index (GPI)",0.497480005
1987,"School enrollment, tertiary (gross), gender parity index (GPI)",0.459589988
1986,"School enrollment, tertiary (gross), gender parity index (GPI)",0.462550014
1985,"School enrollment, tertiary (gross), gender parity index (GPI)",0.449550003
1984,"School enrollment, tertiary (gross), gender parity index (GPI)",0.418830007
1983,"School enrollment, tertiary (gross), gender parity index (GPI)",0.418289989
1982,"School enrollment, tertiary (gross), gender parity index (GPI)",0.419270009
1981,"School enrollment, tertiary (gross), gender parity index (GPI)",0.389380008
1980,"School enrollment, tertiary (gross), gender parity index (GPI)",0.377579987
1979,"School enrollment, tertiary (gross), gender parity index (GPI)",0.380490005
1978,"School enrollment, tertiary (gross), gender parity index (GPI)",0.36056
1977,"School enrollment, tertiary (gross), gender parity index (GPI)",0.359109998
1976,"School enrollment, tertiary (gross), gender parity index (GPI)",0.33318001
1973,"School enrollment, tertiary (gross), gender parity index (GPI)",0.294499993
1971,"School enrollment, tertiary (gross), gender parity index (GPI)",0.289799988
2019,Proportion of seats held by women in national parliaments (%),14.39
2018,Proportion of seats held by women in national parliaments (%),11.8
2017,Proportion of seats held by women in national parliaments (%),11.8
2016,Proportion of seats held by women in national parliaments (%),12
2015,Proportion of seats held by women in national parliaments (%),12
2014,Proportion of seats held by women in national parliaments (%),11.4
2013,Proportion of seats held by women in national parliaments (%),11
2012,Proportion of seats held by women in national parliaments (%),11
2011,Proportion of seats held by women in national parliaments (%),11
2010,Proportion of seats held by women in national parliaments (%),10.8
2009,Proportion of seats held by women in national parliaments (%),10.8
2008,Proportion of seats held by women in national parliaments (%),9.1
2007,Proportion of seats held by women in national parliaments (%),9.1
2006,Proportion of seats held by women in national parliaments (%),8.3
2005,Proportion of seats held by women in national parliaments (%),8.3
2004,Proportion of seats held by women in national parliaments (%),8.3
2003,Proportion of seats held by women in national parliaments (%),8.8
2002,Proportion of seats held by women in national parliaments (%),8.8
2001,Proportion of seats held by women in national parliaments (%),8.8
2000,Proportion of seats held by women in national parliaments (%),9
1999,Proportion of seats held by women in national parliaments (%),8.4
1998,Proportion of seats held by women in national parliaments (%),8.1
1997,Proportion of seats held by women in national parliaments (%),7.2
1990,Proportion of seats held by women in national parliaments (%),5
2019,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",79.78199959
2018,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",80.23600006
2017,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",80.69400024
2016,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",81.13399887
2015,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",81.55200195
2014,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",82.00300217
2013,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",82.41900063
2012,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",82.7820015
2011,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",85.01800156
2010,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",87.02599716
2009,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",87.43899918
2008,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",87.81599808
2007,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",88.03800201
2006,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",88.40600204
2005,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",88.75099945
2004,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",89.15599823
2003,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",89.53899765
2002,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",89.89900208
2001,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.1989975
2000,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.48299789
1999,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.54499817
1998,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.64599991
1997,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.7140007
1996,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.73199844
1995,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.77399826
1994,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.82600021
1993,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",90.99500275
1992,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",91.11199951
1991,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",91.26800156
2019,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",75.26600218
2018,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",75.70700312
2017,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",76.15399933
2016,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",76.58199596
2015,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",76.98399734
2014,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",77.41800022
2013,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",77.82300282
2012,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",78.18100357
2011,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",79.41700363
2010,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.65100193
2009,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.75200272
2008,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.80199718
2007,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.72199821
2006,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.81399822
2005,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.90099907
2004,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",81.07599735
2003,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",81.25399876
2002,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",81.35499763
2001,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",81.3930006
2000,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",81.38299751
1999,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",81.24500084
1998,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",81.14300251
1997,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.96000385
1996,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.71799755
1995,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.50699902
1994,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.31599808
1993,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.66699696
1992,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",80.92000294
1991,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",81.22299957
2012,"Children in employment, female (% of female children ages 7-14)",1.6
2010,"Children in employment, female (% of female children ages 7-14)",2.1
2006,"Children in employment, female (% of female children ages 7-14)",13.1
2005,"Children in employment, female (% of female children ages 7-14)",4.2
2000,"Children in employment, female (% of female children ages 7-14)",5.1
2012,"Children in employment, male (% of male children ages 7-14)",1.9
2010,"Children in employment, male (% of male children ages 7-14)",2.8
2006,"Children in employment, male (% of male children ages 7-14)",17.4
2005,"Children in employment, male (% of male children ages 7-14)",4.2
2000,"Children in employment, male (% of male children ages 7-14)",5.3
2012,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",17.7
2000,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",10.4
2012,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",17.4
2000,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",10.1
2012,"Children in employment, study and work (% of children in employment, ages 7-14)",17.5
2010,"Children in employment, study and work (% of children in employment, ages 7-14)",32.5
2006,"Children in employment, study and work (% of children in employment, ages 7-14)",67.2
2005,"Children in employment, study and work (% of children in employment, ages 7-14)",15.2
2000,"Children in employment, study and work (% of children in employment, ages 7-14)",10.2
2012,"Children in employment, work only, female (% of female children in employment, ages 7-14)",82.3
2000,"Children in employment, work only, female (% of female children in employment, ages 7-14)",89.6
2012,"Children in employment, work only, male (% of male children in employment, ages 7-14)",82.6
2000,"Children in employment, work only, male (% of male children in employment, ages 7-14)",89.9
2012,"Children in employment, work only (% of children in employment, ages 7-14)",82.5
2010,"Children in employment, work only (% of children in employment, ages 7-14)",67.5
2006,"Children in employment, work only (% of children in employment, ages 7-14)",32.8
2005,"Children in employment, work only (% of children in employment, ages 7-14)",84.9
2000,"Children in employment, work only (% of children in employment, ages 7-14)",89.8
2012,"Children in employment, total (% of children ages 7-14)",1.7
2010,"Children in employment, total (% of children ages 7-14)",2.5
2006,"Children in employment, total (% of children ages 7-14)",15.3
2005,"Children in employment, total (% of children ages 7-14)",4.2
2000,"Children in employment, total (% of children ages 7-14)",5.2
2019,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",12.53499985
2018,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",12.77299976
2017,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",13.01099968
2016,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",13.52299976
2015,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",13.98200035
2014,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",14.31299973
2013,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",14.56000042
2012,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",14.7489996
2011,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",16.0890007
2010,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",17.52199936
2009,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",18.72800064
2008,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",20.00399971
2007,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",21.35499954
2006,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",22.7840004
2005,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",24.29599953
2004,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",24.22200012
2003,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",24.14599991
2002,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",24.06999969
2001,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",23.99900055
2000,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",23.93499947
1999,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",24.27300072
1998,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",24.62299919
1997,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",24.98200035
1996,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",25.34399986
1995,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",25.70599937
1994,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",26.06999969
1993,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",26.0510006
1992,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",26.12100029
1991,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",26.27400017
1990,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",26.50900078
2019,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",45.95899963
2018,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",46.22900009
2017,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",46.50500107
2016,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",47.56999969
2015,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",48.55699921
2014,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",49.30099869
2013,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",49.91699982
2012,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",50.43799973
2011,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",52.14899826
2010,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",53.86600113
2009,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",55.94200134
2008,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",58.0019989
2007,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",60.0379982
2006,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",62.04000092
2005,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",64.00299835
2004,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",63.9679985
2003,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",63.91400146
2002,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",63.85499954
2001,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",63.81900024
2000,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",63.8219986
1999,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",64.27100372
1998,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",64.76499939
1997,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",65.28700256
1996,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",65.80599976
1995,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",66.30000305
1994,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",66.77300262
1993,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",66.9980011
1992,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",67.24500275
1991,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",67.53800201
1990,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",67.89399719
2019,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",30.15399933
2018,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",30.39999962
2017,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",30.64800072
2016,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",31.43899918
2015,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",32.1609993
2014,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",32.69300079
2013,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",33.11299896
2012,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",33.45399857
2011,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",34.96500015
2010,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",36.52399826
2009,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",38.16199875
2008,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",39.82300186
2007,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",41.50699997
2006,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",43.21500015
2005,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",44.94499969
2004,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",44.88000107
2003,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",44.80799866
2002,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",44.73799896
2001,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",44.68299866
2000,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",44.65100098
1999,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",45.04700089
1998,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",45.47200012
1997,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",45.91600037
1996,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",46.36100006
1995,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",46.79499817
1994,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",47.22100067
1993,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",47.33300018
1992,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",47.5
1991,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",47.72900009
1990,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",48.02700043
2019,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",24.67300034
2018,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",24.84300041
2017,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",25.01199913
2016,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",24.8939991
2015,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",24.74799919
2014,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",24.59499931
2013,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",24.42399979
2012,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",24.24600029
2011,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",25.64699936
2010,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",27.11499977
2009,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",28.37700081
2008,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",29.68199921
2007,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",31.03000069
2006,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",32.42599869
